描述,图号1(o),产品子分类类型,行程,电极臂端部,加压力,电极臂,变压器,重量,变压器放置方向,法兰P.C.D,托架方向,托架角度,MOTOR厂家,托架个数,齿轮箱型式,托架材料,齿轮箱行程,换枪装置,喉深,有无平衡,喉宽,水路,握杆伸出长度,偏心距离,偏心方向,偏心是否回到中心面,导向方式,静臂偏心,静电极臂端部,动臂偏心,动电极臂端部,支轴到驱动中心距离,静电极臂前部长,静电极臂前部高,动电极臂前部长,动电极臂前部高
赛克天河730S项目,SDEX-3C30222,小型,,,,,SMF-100,,水平,125,上,,FANUC,,联轴器型,铝,160,无,474.0,,175.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
S-41570C天津福臻_常州福田,SDZX-3C30321,小型,180.0,,4500.0,,ITS85,102.0,水平,125,上,,KUKA,,DIAKONT,铝,152,无,463.0,,170.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
广州永联（福臻模拟）_广汽本田,SDZX-3C30268L,小型,230.0,,5000.0,,ITS85,,水平,125,右,40.0,YASKAWA,,OBARA-中空,铝,160,无,520.0,无,420.0,2进2出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
广州永联（福臻模拟）_广汽本田,SDZX-3C30253L,小型,230.0,,5000.0,,ITS85,,水平,125,下,,YASKAWA,,OBARA-中空,铝,160,无,514.0,无,330.0,2进2出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
广州永联（福臻模拟）_广汽本田,SDZX-3C30252L,小型,225.0,,3000.0,,ITS85,,水平,125,右,10.0,YASKAWA,,OBARA-中空,铝,160,无,514.0,无,290.0,2进2出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
天津联恒-MMA(FFT),SDZX-3C30285L,大型,245.0,,5100.0,,DB6-90,,竖直,125,右,30.0,FANUC,,OBARA-中空,SS400,160,无,704.0,无,440.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
天津联恒-MMA(FFT),SDZX-3C30315,大型,190.0,,5100.0,,DB6-90,,竖直,125,上,0.0,FANUC,,OBARA-中空,铝,160,无,554.0,无,470.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
广州永联-广汽本田-五厂,SDZX-3C30193L,小型,220.0,,4500.0,,SMF-100,,水平,其他,下,0.0,多摩川,,OBARA-中空,铝,160,NITTA,504.0,无,100.0,2进2出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
广州永联-广汽本田-五厂,SDZX-3C30238L,大型,100.0,,5500.0,,SMF-100,,竖直,其他,前,0.0,YASKAWA,,OBARA-中空,铝,160,NITTA,300.0,,150.0,2进2出,,,,,,,握杆（?36）,,握杆（?36）,,,,,
联恒沈阳,SDZX-3C30248AL,小型,195.0,,4500.0,,ITS85,,水平,125,下,15.0,FANUC,,OBARA-中空,铝,160,无,440.0,无,155.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
